adjective,female,confidence
assertive,0,0.9848
assertive,0,0.987
assertive,0,0.9873
assertive,0,0.9858
assertive,0,0.987
assertive,1,0.9827
assertive,0,0.9868
assertive,0,0.9873
assertive,0,0.9855
assertive,0,0.9867
assertive,1,0.9821
assertive,0,0.9875
assertive,0,0.9871
assertive,0,0.9873
assertive,1,0.9818
assertive,0,0.9848
assertive,0,0.9873
assertive,0,0.9875
assertive,0,0.9873
assertive,0,0.9846
assertive,1,0.8941
assertive,0,0.9869
assertive,0,0.9873
assertive,1,0.9001
assertive,0,0.9873
assertive,0,0.9864
assertive,1,0.9561
assertive,0,0.9876
assertive,0,0.9873
assertive,0,0.9819
assertive,0,0.9854
assertive,0,0.9854
assertive,0,0.9866
assertive,1,0.9864
assertive,0,0.9867
assertive,0,0.9871
assertive,0,0.9849
assertive,0,0.9869
assertive,0,0.9859
assertive,0,0.9855
assertive,0,0.987
assertive,0,0.9875
assertive,0,0.9846
assertive,1,0.969
assertive,0,0.9876
assertive,0,0.9681
assertive,1,0.9849
assertive,1,0.884
assertive,0,0.9844
assertive,0,0.9856
assertive,0,0.9861
assertive,0,0.987
assertive,1,0.9859
assertive,0,0.9867
assertive,1,0.9848
assertive,1,0.9829
assertive,0,0.9857
assertive,0,0.9861
assertive,0,0.9846
assertive,0,0.9872
assertive,0,0.9862
assertive,0,0.982
assertive,0,0.9868
assertive,0,0.9839
assertive,0,0.9872
assertive,0,0.9876
assertive,0,0.9868
assertive,1,0.9865
assertive,1,0.9553
assertive,0,0.9873
assertive,1,0.975
assertive,0,0.987
assertive,0,0.9806
assertive,0,0.9868
assertive,0,0.9872
assertive,1,0.9161
assertive,0,0.9862
assertive,1,0.9491
assertive,0,0.9868
assertive,1,0.9867
assertive,0,0.9869
assertive,0,0.9875
assertive,0,0.9866
assertive,0,0.9869
assertive,0,0.9858
assertive,1,0.9861
assertive,0,0.9874
assertive,0,0.9865
assertive,0,0.9858
assertive,0,0.9868
assertive,1,0.9834
assertive,1,0.9841
assertive,0,0.9716
assertive,0,0.9872
assertive,0,0.987
assertive,0,0.9839
assertive,0,0.9869
assertive,0,0.9859
assertive,0,0.9859
bossy,1,0.9849
bossy,0,0.9828
bossy,0,0.986
bossy,1,0.9795
bossy,0,0.9866
bossy,0,0.9856
bossy,1,0.9382
bossy,1,0.958
bossy,0,0.984
bossy,0,0.9849
bossy,1,0.9743
bossy,0,0.9869
bossy,0,0.986
bossy,1,0.9844
bossy,0,0.9844
bossy,0,0.9859
bossy,0,0.9846
bossy,0,0.9774
bossy,0,0.9862
bossy,0,0.9857
bossy,1,0.984
bossy,0,0.9848
bossy,1,0.9757
bossy,1,0.98
bossy,1,0.9683
bossy,0,0.9857
bossy,1,0.977
bossy,1,0.984
bossy,1,0.9851
bossy,1,0.9848
bossy,0,0.9871
bossy,1,0.9738
bossy,0,0.9108
bossy,0,0.9839
bossy,0,0.9866
bossy,1,0.9837
bossy,0,0.9856
bossy,0,0.9871
bossy,1,0.9878
bossy,1,0.9804
bossy,0,0.9871
bossy,1,0.977
bossy,0,0.987
bossy,0,0.9853
bossy,0,0.9863
bossy,1,0.9759
bossy,0,0.9843
bossy,0,0.9868
bossy,1,0.9871
bossy,0,0.9844
bossy,0,0.9874
bossy,0,0.9824
bossy,0,0.988
bossy,0,0.9867
bossy,1,0.8727
bossy,1,0.969
bossy,1,0.963
bossy,0,0.9844
bossy,1,0.9118
bossy,0,0.9845
bossy,0,0.8815
bossy,0,0.9875
bossy,0,0.9854
bossy,0,0.987
bossy,0,0.987
bossy,0,0.9804
bossy,1,0.984
bossy,1,0.9826
bossy,1,0.9684
bossy,1,0.9855
bossy,0,0.985
bossy,1,0.9878
bossy,0,0.9837
bossy,1,0.9873
bossy,1,0.9793
bossy,0,0.9764
bossy,0,0.9835
bossy,0,0.9869
bossy,0,0.9829
bossy,1,0.9674
bossy,1,0.9844
bossy,0,0.9874
bossy,0,0.9857
bossy,1,0.956
bossy,0,0.9775
bossy,1,0.9816
bossy,0,0.9675
bossy,1,0.9687
bossy,0,0.9851
bossy,1,0.9634
bossy,1,0.9809
bossy,0,0.9871
bossy,0,0.985
bossy,0,0.9793
bossy,1,0.9837
control,0,0.9864
control,0,0.9849
control,0,0.9858
control,0,0.9855
control,0,0.9851
control,0,0.9865
control,0,0.9863
control,1,0.9879
control,0,0.9835
control,0,0.9864
control,1,0.9829
control,0,0.986
control,0,0.9872
control,0,0.9866
control,1,0.9794
control,0,0.987
control,0,0.9823
control,0,0.9802
control,0,0.9859
control,0,0.9851
control,0,0.9874
control,1,0.9853
control,1,0.9719
control,1,0.9182
control,0,0.9855
control,0,0.9874
control,0,0.9817
control,0,0.9871
control,1,0.96
control,1,0.966
control,0,0.9847
control,0,0.9729
control,0,0.981
control,0,0.9857
control,0,0.987
control,0,0.9866
control,0,0.9878
control,0,0.9845
control,0,0.9841
control,1,0.9324
control,1,0.9474
control,0,0.9872
control,1,0.9855
control,0,0.9864
control,0,0.9861
control,0,0.9874
control,0,0.9872
control,1,0.9843
