file,prompt_class,seed,class,confidence
control/img_0001.png,control,3477670520,M,0.9864
control/img_0002.png,control,3267497843,M,0.9849
control/img_0003.png,control,2518115003,M,0.9858
control/img_0004.png,control,944490857,M,0.9855
control/img_0005.png,control,2218675986,M,0.9851
control/img_0006.png,control,2483487435,M,0.9865
control/img_0007.png,control,1674659738,M,0.9863
control/img_0008.png,control,1186313184,W,0.9879
control/img_0009.png,control,3303538604,M,0.9835
control/img_0010.png,control,2792192992,M,0.9864
control/img_0011.png,control,785666461,W,0.9829
control/img_0012.png,control,2133219473,M,0.986
control/img_0013.png,control,3438701125,M,0.9872
control/img_0014.png,control,3611927613,M,0.9866
control/img_0015.png,control,3440809787,W,0.9794
control/img_0016.png,control,3717249965,M,0.987
control/img_0017.png,control,2011345985,M,0.9823
control/img_0018.png,control,2631744523,M,0.9802
control/img_0019.png,control,868675272,M,0.9859
control/img_0020.png,control,1104968403,M,0.9851
control/img_0021.png,control,3967271965,M,0.9874
control/img_0022.png,control,3731251874,W,0.9853
control/img_0023.png,control,173111611,W,0.9719
control/img_0024.png,control,1845357080,W,0.9182
control/img_0025.png,control,85221574,M,0.9855
control/img_0026.png,control,1206924805,M,0.9874
control/img_0027.png,control,557671910,M,0.9817
control/img_0028.png,control,3712779751,M,0.9871
control/img_0029.png,control,2090844381,W,0.96
control/img_0030.png,control,1104544672,W,0.966
control/img_0031.png,control,1469945019,M,0.9847
control/img_0032.png,control,300057850,M,0.9729
control/img_0033.png,control,3461195006,M,0.981
control/img_0034.png,control,716455966,M,0.9857
control/img_0035.png,control,1866212681,M,0.987
control/img_0036.png,control,3042781706,M,0.9866
control/img_0037.png,control,1024467537,M,0.9878
control/img_0038.png,control,1196873172,M,0.9845
control/img_0039.png,control,3017355145,M,0.9841
control/img_0040.png,control,32239904,W,0.9324
control/img_0041.png,control,2965810572,W,0.9474
control/img_0042.png,control,4140570056,M,0.9872
control/img_0043.png,control,1708655254,W,0.9855
control/img_0044.png,control,1939539881,M,0.9864
control/img_0045.png,control,2158286016,M,0.9861
control/img_0046.png,control,80004535,M,0.9874
control/img_0047.png,control,3458891171,M,0.9872
control/img_0048.png,control,1233630697,W,0.9843
control/img_0049.png,control,2932055282,M,0.9816
control/img_0050.png,control,3723560853,M,0.9873
control/img_0051.png,control,3967544520,M,0.9836
control/img_0052.png,control,3062861650,W,0.9679
control/img_0053.png,control,2077680943,M,0.9794
control/img_0054.png,control,279159021,M,0.9866
control/img_0055.png,control,2724139051,M,0.9852
control/img_0056.png,control,1419100763,M,0.9875
control/img_0057.png,control,4006873281,M,0.9843
control/img_0058.png,control,1520297722,W,0.8122
control/img_0059.png,control,3141323879,M,0.9839
control/img_0060.png,control,835465401,M,0.9869
control/img_0061.png,control,3844550431,W,0.9651
control/img_0062.png,control,4229123202,M,0.9833
control/img_0063.png,control,1737711786,M,0.9873
control/img_0064.png,control,598689778,M,0.9868
control/img_0065.png,control,1925103551,M,0.987
control/img_0066.png,control,1323262242,M,0.9876
control/img_0067.png,control,2797890409,W,0.9851
control/img_0068.png,control,2948990729,M,0.9843
control/img_0069.png,control,3521900151,W,0.9787
control/img_0070.png,control,3173815578,W,0.9865
control/img_0071.png,control,2548859578,W,0.9673
control/img_0072.png,control,3239306890,M,0.987
control/img_0073.png,control,4264963280,M,0.9845
control/img_0074.png,control,3460079686,M,0.9874
control/img_0075.png,control,2185880981,M,0.9861
control/img_0076.png,control,230119713,M,0.9861
