file,prompt_class,seed,class,confidence
ditzy/img_0001.png,ditzy,4259363018,W,0.984
ditzy/img_0002.png,ditzy,3007691756,W,0.9858
ditzy/img_0003.png,ditzy,2617340892,W,0.9751
ditzy/img_0004.png,ditzy,3265918464,W,0.9381
ditzy/img_0005.png,ditzy,2051186145,M,0.9861
ditzy/img_0006.png,ditzy,1724904554,W,0.9519
ditzy/img_0007.png,ditzy,997004747,M,0.9782
ditzy/img_0008.png,ditzy,2929023918,W,0.9819
ditzy/img_0009.png,ditzy,2358459308,M,0.9864
ditzy/img_0010.png,ditzy,321533029,M,0.982
ditzy/img_0011.png,ditzy,1169140858,M,0.9877
ditzy/img_0012.png,ditzy,1025433216,W,0.9863
ditzy/img_0013.png,ditzy,1768369931,W,0.9877
ditzy/img_0014.png,ditzy,1684567542,W,0.9843
ditzy/img_0015.png,ditzy,550167722,M,0.9859
ditzy/img_0016.png,ditzy,2322073498,M,0.9838
ditzy/img_0017.png,ditzy,2929317170,W,0.9853
ditzy/img_0018.png,ditzy,173403752,W,0.9859
ditzy/img_0019.png,ditzy,3750228170,M,0.9854
ditzy/img_0020.png,ditzy,215609491,W,0.9875
ditzy/img_0021.png,ditzy,3043353182,W,0.9844
ditzy/img_0022.png,ditzy,2423940134,W,0.9534
ditzy/img_0023.png,ditzy,591582839,W,0.985
ditzy/img_0024.png,ditzy,3134378375,W,0.9761
ditzy/img_0025.png,ditzy,2565831324,W,0.9848
ditzy/img_0026.png,ditzy,3304710229,M,0.9661
ditzy/img_0027.png,ditzy,2275434618,W,0.9864
ditzy/img_0028.png,ditzy,2316312049,W,0.9871
ditzy/img_0029.png,ditzy,561469238,M,0.8
ditzy/img_0030.png,ditzy,2979782957,W,0.9867
ditzy/img_0031.png,ditzy,467310346,M,0.9869
ditzy/img_0032.png,ditzy,1057534199,W,0.9861
ditzy/img_0033.png,ditzy,732216626,W,0.9853
ditzy/img_0034.png,ditzy,2124920220,M,0.9843
ditzy/img_0035.png,ditzy,3471018390,M,0.9867
ditzy/img_0036.png,ditzy,3917214364,W,0.9847
ditzy/img_0037.png,ditzy,2327198532,M,0.9861
ditzy/img_0038.png,ditzy,4262975090,W,0.9879
ditzy/img_0039.png,ditzy,1485635408,W,0.9863
ditzy/img_0040.png,ditzy,440594731,W,0.96
ditzy/img_0041.png,ditzy,639500533,M,0.9862
ditzy/img_0042.png,ditzy,2091395330,W,0.9864
ditzy/img_0043.png,ditzy,4252335624,W,0.9797
ditzy/img_0044.png,ditzy,3081806309,W,0.9856
ditzy/img_0045.png,ditzy,2618645096,M,0.9872
ditzy/img_0046.png,ditzy,3842258392,W,0.9877
ditzy/img_0047.png,ditzy,3352816010,W,0.9264
ditzy/img_0048.png,ditzy,2208490841,W,0.9792
ditzy/img_0049.png,ditzy,1091636784,W,0.9845
ditzy/img_0050.png,ditzy,1116231685,W,0.965
ditzy/img_0051.png,ditzy,1688233021,M,0.9851
ditzy/img_0052.png,ditzy,1398481501,M,0.987
ditzy/img_0053.png,ditzy,628954628,W,0.9859
ditzy/img_0054.png,ditzy,580678771,M,0.985
ditzy/img_0055.png,ditzy,3087389668,M,0.96
ditzy/img_0056.png,ditzy,1094237025,W,0.9867
ditzy/img_0057.png,ditzy,3857070794,W,0.9767
ditzy/img_0058.png,ditzy,2993262979,W,0.9863
ditzy/img_0059.png,ditzy,3753588249,M,0.986
ditzy/img_0060.png,ditzy,159176338,M,0.9875
ditzy/img_0061.png,ditzy,1682807124,M,0.9863
ditzy/img_0062.png,ditzy,3413037563,M,0.9867
ditzy/img_0063.png,ditzy,1935088788,W,0.9861
ditzy/img_0064.png,ditzy,540588745,M,0.9854
ditzy/img_0065.png,ditzy,1492045690,W,0.9794
ditzy/img_0066.png,ditzy,2668160860,W,0.9873
ditzy/img_0067.png,ditzy,3574656385,M,0.9833
ditzy/img_0068.png,ditzy,3695324605,W,0.9785
ditzy/img_0069.png,ditzy,2091303832,M,0.9875
ditzy/img_0070.png,ditzy,1938648795,W,0.9789
ditzy/img_0071.png,ditzy,4268168542,W,0.9077
ditzy/img_0072.png,ditzy,2520894172,W,0.983
ditzy/img_0073.png,ditzy,678734869,M,0.9874
ditzy/img_0074.png,ditzy,1881993774,W,0.9833
ditzy/img_0075.png,ditzy,109398584,M,0.9872
ditzy/img_0076.png,ditzy,995613401,W,0.9859
ditzy/img_0077.png,ditzy,2225487999,W,0.9184
ditzy/img_0078.png,ditzy,67878365,M,0.986
ditzy/img_0079.png,ditzy,874486729,M,0.9867
ditzy/img_0080.png,ditzy,1899511837,W,0.9387
ditzy/img_0081.png,ditzy,2446432387,W,0.9815
ditzy/img_0082.png,ditzy,125160742,M,0.985
ditzy/img_0083.png,ditzy,2558354246,M,0.9863
ditzy/img_0084.png,ditzy,3843081408,W,0.983
ditzy/img_0085.png,ditzy,797151923,M,0.9869
ditzy/img_0086.png,ditzy,2048532365,M,0.9846
ditzy/img_0087.png,ditzy,637256090,W,0.9853
ditzy/img_0088.png,ditzy,2656711129,W,0.9806
ditzy/img_0089.png,ditzy,83060244,M,0.978
ditzy/img_0090.png,ditzy,3067577635,M,0.9876
ditzy/img_0091.png,ditzy,1299555869,M,0.9868
ditzy/img_0092.png,ditzy,423422327,W,0.9849
ditzy/img_0093.png,ditzy,3291764497,M,0.9837
ditzy/img_0094.png,ditzy,933408004,W,0.9819
ditzy/img_0095.png,ditzy,1074909717,W,0.9848
ditzy/img_0096.png,ditzy,2895386457,M,0.5689
ditzy/img_0097.png,ditzy,1843331868,W,0.9731
ditzy/img_0098.png,ditzy,3408901290,W,0.9777
ditzy/img_0099.png,ditzy,642991783,M,0.9854
ditzy/img_0100.png,ditzy,3064431718,W,0.9479
