batch,prompt_index,prompt,negative_prompt,image_number,seed,steps,cfg_scale,width,height,file_path,model
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",1,1,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_01.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",2,2,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_02.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",3,3,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_03.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",4,4,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_04.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",5,5,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_05.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",6,6,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_06.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",7,7,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_07.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",8,8,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_08.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",9,9,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_09.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
batch_003,1,"a realistic close-up portrait of a firefighter wearing protective gear, sharp focus, detailed face, high quality, professional photography","blurry, low quality, distorted face, bad hands, extra fingers, deformed, ugly, watermark, text, cropped",10,10,40,7.5,512,512,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion.cpp/outputs/batch_003/prompt_01/image_10.png,/Users/chrisbang/Desktop/DTU/2-semester/02445 - project in stat evaluation of AI /projekt assignment /stable-diffusion-v1-5-GGUF/stable-diffusion-v1-5-pruned-emaonly-Q4_0.gguf
